DT,TYPE,NKB,S_UAH,S_FXU,S_FXD
2018-05-01,LSGNET,240,228026390.11,13190721.59,502885.9303988285
2018-05-01,LSGNET,241,258246026.20000002,35685545.97,1360483.4932243926
2018-05-01,LSGNET,242,845096243.9899998,773639330.14,29494393.59144115
2018-05-01,LSGNET,251,665142778.9000001,624204720.17,23797316.114988286
2018-05-01,LSGNET,270,1144831180.7,2661545095.5199995,101469322.39656298
2018-05-01,LSGNET,272,2958428415.1799994,14823745297.04,565143680.3388115
2018-05-01,LSGNET,274,14098253238.130003,14281763850.519999,544481062.1391567
2018-05-01,LSGNET,286,571726870.88,27623010.48,1053105.6417855446
2018-05-01,LSGNET,288,412733814.28999996,105044005.33000001,4004720.4387395876
2018-05-01,LSGNET,290,487635836.99999994,141191103.45999998,5382800.246602684
2018-05-01,LSGNET,295,5892541839.9,1624962298.62,61950415.05720521
2018-05-01,LSGNET,296,9235681857.130003,3548689341.559999,135291002.01612297
2018-05-01,LSGNET,297,5186300069.01,383822154.16999996,14632919.040137444
2018-05-01,LSGNET,298,10048294811.1,4054033218.47,154556841.5668489
2018-05-01,LSGNET,305,2724391357.0499997,3004614617.6499996,114548579.25530978
2018-05-01,LSGNET,311,93791151.03,3501347.980000004,133486.14968169923
2018-05-01,LSGNET,320,637846323.16,2246201044.89,85634655.74003735
2018-05-01,LSGNET,325,-9.313225746154785e-10,36865806.46,1405480.000093023
2018-05-01,LSGNET,326,341044329.52,67784669.51,2584237.4399862876
2018-05-01,LSGNET,329,267392304.42000005,456577241.03999996,17406649.749426674
2018-05-01,LSGNET,331,658747822.0,552695450.04,21071081.193259016
2018-05-01,LSGNET,377,243742538.47,153566162.98,5854589.699362719
2018-05-01,LSGNET,381,196305892.32,338011722.68,12886432.21569523
2018-05-01,LSGNET,386,657584489.39,9068639.530000001,345734.7800406153
2018-05-01,LSGNET,387,239903254.48000002,72096266.55000001,2748613.700539691
2018-05-01,LSGNET,389,813972517.11,973154751.3500001,37100762.7759874
2018-05-01,LSGNET,392,282860463.28000003,918051.6500000022,35000.000190621126
2018-05-01,LSGNET,394,126890205.38999999,0,0.0
2018-05-01,LSGNET,395,349185820.92999995,82679737.63999999,3152100.2474757293
2018-05-01,LSGNET,407,1095754100.82,0,0.0
2018-05-01,LSGNET,430,124414780.71,17489568.18,666776.0900314057
2018-05-01,LSGNET,455,800174254.77,334193979.93000007,12740883.7631896
2018-05-01,LSGNET,512,15194143.84,0,0.0
2018-05-01,LSGNET,553,9489557.32,75990668.37,2897084.7200540663
2018-05-01,LSGNET,634,185140060.39,0,0.0
2018-05-01,LSGNET,694,296355036.6999999,10852243.36,413733.27924269444
2018-05-01,LSGNET,774,31057502.51,12364025.13,471368.77528278925
2018-06-01,DFOOS,2,7435062735.96,16441880338.560001,629093796.4005487
2018-06-01,DFOOS,5,3795045842.26,3897418359.6099997,149121734.3467778
2018-06-01,DFOOS,6,51363116025.700005,37832540685.560005,1447536179.3955019
2018-06-01,DFOOS,29,248375760.93,166877018.66,6384993.385131218
2018-06-01,DFOOS,36,13598625833.69,7602912409.93,290900124.14496166
2018-06-01,DFOOS,43,30098358.310000002,84843095.53999999,3246238.5063378736
2018-06-01,DFOOS,46,93688801755.14,71389821936.06,2731493793.978585
2018-06-01,DFOOS,49,106666418.14,81200522.51,3106867.5798426354
2018-06-01,DFOOS,62,2760464305.0099998,3299661466.95,126250557.49931213
2018-06-01,DFOOS,72,1327333.39,2514750.54,96218.55479015637
2018-06-01,DFOOS,88,2962527812.03,2215636570.92,84773954.87273271
2018-06-01,DFOOS,91,379953665.18,438541691.57,16779337.39626353
2018-06-01,DFOOS,95,48038294.559999995,200257811.53,7662198.259576121
2018-06-01,DFOOS,96,2768857222.59,488228619.85,18680442.23947543
2018-06-01,DFOOS,97,162492620.9,309225623.40000004,11831488.696144454
2018-06-01,DFOOS,101,881595535.9300001,833715254.93,31899337.791123956
2018-06-01,DFOOS,105,515590187.66,1313896917.7200003,50271890.01667711
2018-06-01,DFOOS,106,3054028628.1699996,5213599747.740001,199481032.0159496
2018-06-01,DFOOS,113,512026760.9499999,107061265.42,4096342.7858405956
2018-06-01,DFOOS,115,6884128128.669999,8459432190.64,323672001.1714194
2018-06-01,DFOOS,123,115730870.17999999,304472825.42,11649638.7092089
2018-06-01,DFOOS,128,63323030.309999995,14392667.750000002,550687.5009876293
