DT,TYPE,S_UAH,S_FXU,S_FXD
2019-02-01,LFONET,106556559779.03009,7933410983.490005,285831775.24078536
2019-02-01,LSGNET,216500660537.3201,202186127619.14984,7284536236.268275
2019-02-01,OVDPp,253975178400.0,123292489999.47002,4442088196.835406
2019-03-01,DFOOS,268542756056.2499,229384608668.90985,8498003711.99149
2019-03-01,DSG,270914782166.5797,142501680715.33005,5279254866.798009
2019-03-01,DSNBp,61903000000,0,0.0
2019-03-01,LFONET,108161196725.26001,7623225664.03001,282417379.117974
2019-03-01,LSGNET,217931841255.70032,191398644749.80002,7090739012.492387
2019-03-01,OVDPp,256728271600.0,108054386011.93996,4003087124.087774
2019-04-01,DFOOS,270908511796.96982,231876242470.72977,8509605571.87564
2019-04-01,DSG,263672958881.88974,143025889610.70993,5248894385.147738
2019-04-01,DSNBp,52118000000,0,0.0
2019-04-01,LFONET,111088293156.59996,7611021090.570002,279316185.1764657
2019-04-01,LSGNET,220354162536.74026,200426405291.08014,7355430798.095994
2019-04-01,OVDPp,260513943600.0,108990112598.35999,3999818435.7478223
2019-05-01,DFOOS,279167999977.4701,227338335432.4801,8540348405.206925
2019-05-01,DSG,262788785307.7099,144509515850.78,5428743950.665465
2019-05-01,DSNBp,43820000000,0,0.0
2019-05-01,LFONET,112727999717.8401,7373958222.889999,277015190.7249503
2019-05-01,LSGNET,224622721254.5703,197952867755.2399,7436433697.9220495
2019-05-01,OVDPp,263002004400.0,99493488234.36002,3737640868.8588986
2019-06-01,DFOOS,271336091927.84015,231033655678.74,8597377544.708502
2019-06-01,DSG,269718623391.68967,144681355491.50998,5383978508.180435
2019-06-01,DSNBp,43553000000,0,0.0
2019-06-01,LFONET,116612243248.39014,7322328568.329999,272483344.5732943
2019-06-01,LSGNET,223015887696.4498,197337228107.93988,7343443744.964065
2019-06-01,OVDPp,262366038200.0,103510964232.91005,3851918617.279781
2019-07-01,DFOOS,287592105091.32996,228571633396.56982,8735316689.810991
2019-07-01,DSG,268532759750.19998,151372806989.9301,5785010972.855556
2019-07-01,DSNBp,38924000000,0,0.0
2019-07-01,LFONET,118397530688.1601,7034899348.969996,268852581.490632
2019-07-01,LSGNET,227631482282.44034,191069100967.09,7302083297.839567
2019-07-01,OVDPp,256120751200.0,93571733906.25998,3576028734.3607516
2019-08-01,DFOOS,281196321306.6801,223623482542.24997,8914446190.473011
2019-08-01,DSG,275724277821.0098,180869396271.69986,7210112651.12905
2019-08-01,DSNBp,42889000000,0,0.0
2019-08-01,LFONET,121770560197.62991,6757670434.48999,269385347.0859437
2019-08-01,LSGNET,229050801301.66974,182251056810.50983,7265190670.604896
2019-08-01,OVDPp,253868076000.0,93588010981.71,3730758856.294206
2019-09-01,DFOOS,284767971776.98004,229668249000.60022,9102153117.343779
2019-09-01,DSG,268417764930.2102,174741741172.52008,6925319851.850203
2019-09-01,DSNBp,32878000000,0,0.0
2019-09-01,LFONET,125140449978.28996,6576146347.290004,260624144.76342377
2019-09-01,LSGNET,233560735397.93033,180512767193.06985,7154035674.397725
2019-09-01,OVDPp,248417057700.0,91171262131.8,3613276068.573854
2019-10-01,DFOOS,285424186585.95984,221689297460.27005,9205292350.251577
2019-10-01,DSG,282417259646.7497,164415937414.06995,6827107976.23608
2019-10-01,DSNBp,52536000000,0,0.0
2019-10-01,LFONET,127832240154.4398,5885235155.709996,244374946.28263667
2019-10-01,LSGNET,230769574329.40982,175074202790.6401,7269675343.5465
2019-10-01,OVDPp,250688563500.0,99005295153.15997,4111036015.489721
2019-11-01,DFOOS,290021153827.64996,235705621499.31003,9429952049.989885
2019-11-01,DSG,283858029861.8202,172219257981.77017,6890032297.5864315
2019-11-01,DSNBp,65027000000,0,0.0
2019-11-01,LFONET,130662256355.46004,5922483500.019996,236942738.4327713
2019-11-01,LSGNET,231199527624.20987,185411627201.70007,7417823736.663613
2019-11-01,OVDPp,245931535500.0,93322146025.36,3733569681.6372876
2019-12-01,DFOOS,300984177017.9303,233648017862.17,9720924831.720068
2019-12-01,DSG,279618970798.4103,167124108945.92,6953197872.150763
2019-12-01,DSNBp,69762000000,0,0.0
2019-12-01,LFONET,132682989390.89006,5696881361.690001,237018725.85490447
2019-12-01,LSGNET,230791693125.29,179298992953.12985,7459733871.6935215
2019-12-01,OVDPp,242695014500.0,86695569110.89,3606968799.8265076
2020-01-01,DFOOS,309388891178.71985,232746581505.32004,9826252480.571804
2020-01-01,DSG,328234015011.0804,188404703865.18015,7954197121.749365
2020-01-01,DSNBp,143936000000,0,0.0
2020-01-01,LFONET,136596263005.05995,4988830799.060007,210621830.39322454
2020-01-01,LSGNET,215927209662.1695,175591390720.44983,7413236007.483257
2020-01-01,OVDPp,240968191000,92717919845.59999,3914427803.7675943
2020-02-01,DFOOS,314056232516.0998,246829419512.33014,9905031361.351307
2020-02-01,DSG,332950128178.2699,209872846754.26987,8421999019.015946
2020-02-01,DSNBp,160962000000,0,0.0
2020-02-01,LFONET,138553649280.69986,5055843321.410005,202886214.92359427
2020-02-01,LSGNET,202532829234.65018,179871364433.93994,7218067883.671488
2020-02-01,OVDPp,240592345000,84838199452.3,3404476775.401691
2020-03-01,DFOOS,325619874995.6702,244270946423.08032,9945480494.404947
2020-03-01,DSG,332126985484.0602,212362771283.86996,8646340592.153008
2020-03-01,DSNBp,173572000000,0,0.0
2020-03-01,LFONET,140005061969.11014,4908757819.200001,199859851.76499325
